round,thompson_regret,eps_greedy_regret,thompson_opt_pick_rate,eps_greedy_opt_pick_rate
1,0.03,0.03,0.0,0.0
2,0.03,0.06,0.5,0.0
3,0.049999999999999996,0.09,0.3333333333333333,0.0
4,0.05499999999999999,0.12,0.25,0.0
5,0.09,0.15,0.2,0.0
6,0.125,0.18,0.16666666666666666,0.0
7,0.13,0.21,0.14285714285714285,0.0
8,0.13,0.24,0.25,0.0
9,0.15,0.27,0.2222222222222222,0.0
10,0.155,0.30000000000000004,0.2,0.0
11,0.175,0.33000000000000007,0.18181818181818182,0.0
12,0.19499999999999998,0.3600000000000001,0.16666666666666666,0.0
13,0.22499999999999998,0.3900000000000001,0.15384615384615385,0.0
14,0.255,0.42000000000000015,0.14285714285714285,0.0
15,0.29,0.4500000000000002,0.13333333333333333,0.0
16,0.31999999999999995,0.4800000000000002,0.125,0.0
17,0.3549999999999999,0.5100000000000002,0.11764705882352941,0.0
18,0.3849999999999999,0.5400000000000003,0.1111111111111111,0.0
19,0.3899999999999999,0.5700000000000003,0.10526315789473684,0.0
20,0.4249999999999999,0.6000000000000003,0.1,0.0
21,0.4299999999999999,0.6300000000000003,0.09523809523809523,0.0
22,0.4349999999999999,0.6600000000000004,0.09090909090909091,0.0
23,0.46999999999999986,0.6900000000000004,0.08695652173913043,0.0
24,0.5049999999999999,0.7200000000000004,0.08333333333333333,0.0
25,0.5099999999999999,0.7500000000000004,0.08,0.0
26,0.5099999999999999,0.7800000000000005,0.11538461538461539,0.0
27,0.5299999999999999,0.8100000000000005,0.1111111111111111,0.0
28,0.5349999999999999,0.8400000000000005,0.10714285714285714,0.0
29,0.57,0.8700000000000006,0.10344827586206896,0.0
30,0.605,0.8700000000000006,0.1,0.03333333333333333
31,0.635,0.9000000000000006,0.0967741935483871,0.03225806451612903
32,0.635,0.9050000000000006,0.125,0.03125
33,0.665,0.9350000000000006,0.12121212121212122,0.030303030303030304
34,0.6950000000000001,0.9550000000000006,0.11764705882352941,0.029411764705882353
35,0.7300000000000001,0.9850000000000007,0.11428571428571428,0.02857142857142857
36,0.7300000000000001,1.0150000000000006,0.1388888888888889,0.027777777777777776
37,0.7600000000000001,1.0450000000000006,0.13513513513513514,0.02702702702702703
38,0.7800000000000001,1.0750000000000006,0.13157894736842105,0.02631578947368421
39,0.7850000000000001,1.1050000000000006,0.1282051282051282,0.02564102564102564
40,0.7900000000000001,1.1350000000000007,0.125,0.025
41,0.8200000000000002,1.1650000000000007,0.12195121951219512,0.024390243902439025
42,0.8550000000000002,1.1950000000000007,0.11904761904761904,0.023809523809523808
43,0.8900000000000002,1.2250000000000008,0.11627906976744186,0.023255813953488372
44,0.8900000000000002,1.2550000000000008,0.13636363636363635,0.022727272727272728
45,0.9200000000000003,1.2850000000000008,0.13333333333333333,0.022222222222222223
46,0.9550000000000003,1.3150000000000008,0.13043478260869565,0.021739130434782608
47,0.9600000000000003,1.3450000000000009,0.1276595744680851,0.02127659574468085
48,0.9650000000000003,1.3750000000000009,0.125,0.020833333333333332
49,0.9850000000000003,1.405000000000001,0.12244897959183673,0.02040816326530612
50,1.0050000000000003,1.435000000000001,0.12,0.02
51,1.0250000000000004,1.465000000000001,0.11764705882352941,0.0196078431372549
52,1.0300000000000002,1.495000000000001,0.11538461538461539,0.019230769230769232
53,1.0500000000000003,1.525000000000001,0.11320754716981132,0.018867924528301886
54,1.0500000000000003,1.555000000000001,0.12962962962962962,0.018518518518518517
55,1.0500000000000003,1.585000000000001,0.14545454545454545,0.01818181818181818
56,1.0500000000000003,1.615000000000001,0.16071428571428573,0.017857142857142856
57,1.0700000000000003,1.6450000000000011,0.15789473684210525,0.017543859649122806
58,1.1000000000000003,1.6750000000000012,0.15517241379310345,0.017241379310344827
59,1.1300000000000003,1.7050000000000012,0.15254237288135594,0.01694915254237288
60,1.1300000000000003,1.7350000000000012,0.16666666666666666,0.016666666666666666
61,1.1300000000000003,1.7650000000000012,0.18032786885245902,0.01639344262295082
62,1.1650000000000003,1.7950000000000013,0.1774193548387097,0.016129032258064516
63,1.1950000000000003,1.8250000000000013,0.1746031746031746,0.015873015873015872
64,1.2150000000000003,1.8550000000000013,0.171875,0.015625
65,1.2500000000000002,1.8850000000000013,0.16923076923076924,0.015384615384615385
66,1.2500000000000002,1.9150000000000014,0.18181818181818182,0.015151515151515152
67,1.2700000000000002,1.9450000000000014,0.1791044776119403,0.014925373134328358
68,1.2750000000000001,1.9750000000000014,0.17647058823529413,0.014705882352941176
69,1.3050000000000002,2.0050000000000012,0.17391304347826086,0.014492753623188406
70,1.31,2.035000000000001,0.17142857142857143,0.014285714285714285
71,1.315,2.065000000000001,0.16901408450704225,0.014084507042253521
72,1.3199999999999998,2.0950000000000006,0.16666666666666666,0.013888888888888888
73,1.3399999999999999,2.1250000000000004,0.1643835616438356,0.0136986301369863
74,1.3749999999999998,2.1550000000000002,0.16216216216216217,0.013513513513513514
75,1.4049999999999998,2.185,0.16,0.013333333333333334
76,1.4049999999999998,2.215,0.17105263157894737,0.013157894736842105
77,1.4249999999999998,2.2449999999999997,0.16883116883116883,0.012987012987012988
78,1.4299999999999997,2.2749999999999995,0.16666666666666666,0.01282051282051282
79,1.4599999999999997,2.3049999999999993,0.16455696202531644,0.012658227848101266
80,1.4899999999999998,2.334999999999999,0.1625,0.0125
81,1.4899999999999998,2.354999999999999,0.1728395061728395,0.012345679012345678
82,1.5249999999999997,2.3899999999999992,0.17073170731707318,0.012195121951219513
83,1.5449999999999997,2.419999999999999,0.1686746987951807,0.012048192771084338
84,1.5499999999999996,2.449999999999999,0.16666666666666666,0.011904761904761904
85,1.5499999999999996,2.4799999999999986,0.17647058823529413,0.011764705882352941
86,1.5549999999999995,2.5099999999999985,0.1744186046511628,0.011627906976744186
87,1.5899999999999994,2.5399999999999983,0.1724137931034483,0.011494252873563218
88,1.5949999999999993,2.569999999999998,0.17045454545454544,0.011363636363636364
89,1.5949999999999993,2.599999999999998,0.1797752808988764,0.011235955056179775
90,1.6249999999999993,2.6299999999999977,0.17777777777777778,0.011111111111111112
91,1.6449999999999994,2.6599999999999975,0.17582417582417584,0.01098901098901099
92,1.6449999999999994,2.6899999999999973,0.18478260869565216,0.010869565217391304
93,1.6499999999999992,2.719999999999997,0.1827956989247312,0.010752688172043012
94,1.6799999999999993,2.749999999999997,0.18085106382978725,0.010638297872340425
95,1.6849999999999992,2.7799999999999967,0.17894736842105263,0.010526315789473684
96,1.719999999999999,2.7799999999999967,0.17708333333333334,0.020833333333333332
97,1.7499999999999991,2.7799999999999967,0.17525773195876287,0.030927835051546393
98,1.754999999999999,2.8099999999999965,0.17346938775510204,0.030612244897959183
99,1.759999999999999,2.8399999999999963,0.1717171717171717,0.030303030303030304
100,1.789999999999999,2.869999999999996,0.17,0.03
101,1.809999999999999,2.899999999999996,0.16831683168316833,0.0297029702970297
102,1.8149999999999988,2.9299999999999957,0.16666666666666666,0.029411764705882353
103,1.8349999999999989,2.9599999999999955,0.1650485436893204,0.02912621359223301
104,1.8399999999999987,2.9899999999999953,0.16346153846153846,0.028846153846153848
105,1.8599999999999988,3.019999999999995,0.1619047619047619,0.02857142857142857
106,1.8899999999999988,3.049999999999995,0.16037735849056603,0.02830188679245283
